IP	Port
123.207.23.211	9869
123.207.23.211	7071
123.207.23.211	49
123.207.23.211	3412
221.182.245.85	443
221.182.144.37	443
221.182.136.129	8083
106.52.115.145	548
106.52.115.145	8383
106.52.115.145	83
106.52.115.145	50050
106.52.115.145	49153
106.52.115.145	85
106.52.115.145	4200
106.52.115.145	3057
106.52.115.145	8861
221.182.136.133	16993
106.75.45.110	4000
106.75.45.110	4567
106.75.45.110	6000
106.75.45.110	3566
106.75.45.110	2404
106.75.45.110	2549
106.75.45.110	51235
106.75.45.110	9037
106.75.45.110	1200
106.75.45.110	9019
106.75.45.110	2083
106.75.45.110	5010
106.75.45.110	2558
106.75.45.110	5985
42.194.226.30	37
42.194.226.30	8649
42.194.226.30	311
42.194.226.30	800
42.194.226.30	2455
42.194.226.30	8334
42.194.226.30	8016
42.194.226.30	4646
42.194.226.30	8890
42.194.226.30	5269
106.75.71.81	2121
106.75.71.81	1433
106.75.71.81	5500
106.75.71.81	9869
106.75.71.81	3000
106.75.71.81	264
106.75.71.81	9100
106.75.71.81	9999
106.75.71.81	4848
106.75.71.81	8069
117.48.120.226	20256
117.48.120.226	8840
117.48.120.226	82
117.48.120.226	5560
117.48.120.226	3110
117.48.120.226	3000
117.48.120.226	4782
117.48.120.226	8823
117.48.120.226	9999
117.48.120.226	8513
117.48.120.226	7777
117.48.120.226	49152
221.182.144.37	3001
42.194.230.121	49
42.194.230.121	96
42.194.230.121	5002
42.194.230.121	264
42.194.230.121	5025
42.194.230.121	3405
221.176.82.65	2087
221.176.82.65	4443
117.50.22.73	3569
117.50.22.73	9899
117.50.22.73	9000
117.50.22.73	2345
117.50.22.73	8800
117.50.22.73	8001
117.50.22.73	1177
117.50.22.73	4506
106.75.76.83	2083
106.75.76.83	4000
106.75.76.83	2000
106.75.76.83	2404
106.75.76.83	143
106.75.76.83	1311
106.75.76.83	50100
106.75.76.83	110
106.75.76.83	32400
123.207.23.211	119
123.207.23.211	11
123.207.23.211	5984
123.207.23.211	4949
123.207.23.211	8008
123.207.23.211	3260
123.207.23.211	6080
123.207.23.211	999
123.207.23.211	2382
123.207.23.211	20547
101.36.105.97	8000
101.36.105.97	2181
101.36.105.97	1962
101.36.105.97	6650
101.36.105.97	55443
101.36.105.97	6004
